food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,ingredients,Meal Type,Cluster,Breakfast,Lunch,Dinner,Bevrage,Curry,Snack,chutney
Chicken sweet corn soup(1 cup),119.03,28.32,1.63,14.48,12.59,0.27,0.47,6.37,91.5,"Chicken, Sweet corn, Ginger, Garlic, Cornstarch, Salt, Pepper, Water",non veg,1,1,0,0,0,0,0,0
Minestrone soup(1 cup),178.39,42.66,3.71,9.3,11.09,1.01,1.92,3.7,53.55,"carrot, celery, beans, Tomato, Garlic, Onion, Olive oil, Salt, Pepper, Pasta, Water",veg,1,1,0,0,0,0,0,0
Egg drop soup(1 cup),110.83,26.64,1.1,12.93,13.52,0.6,0.81,31.67,100.14,"Eggs, Chicken stock, Ginger, Garlic, Cornstarch, Soy sauce, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Chinese cabbage and meat ball soup(1 cup),1992.37,484.31,1.43,5.21,56.57,0.37,0.57,5.83,41.07,"chicken, Chinese cabbage, Ginger, Garlic, Soy sauce, Sesame oil, Salt, Pepper, Water",non veg,2,1,0,0,0,0,0,0
French onion soup(1 cup),230.9,55.61,4.28,11.41,14.39,1.5,1.01,10.59,106.22,"Onions, Butter, chicken stock, Bay leaves, Thyme, Garlic, Salt, Pepper, Cheese",non veg,1,1,0,0,0,0,0,0
Hot and sour soup(1 cup),132.17,31.51,1.78,3.12,1.31,0.66,0.6,17.91,10.68,"Mushrooms, Tofu, Bamboo shoots, Soy sauce, Vinegar, Ginger, Garlic, Chili paste",veg,1,1,0,0,0,0,0,0
Talaumein soup(1 cup),149.32,35.63,4.17,10.12,12.78,0.77,1.94,12.4,42.33,"Noodles, Chicken, Vegetables,carrot, cabbage, Ginger, Soy sauce, Garlic, Chicken stock",non veg,1,1,0,0,0,0,0,0
Cold cucumber soup (1 cup),201.43,48.03,4.58,2.99,1.99,3.34,0.88,7.06,99.79,"Tomatoes, Cucumber, Bell pepper, Garlic, Lemon juice, Olive oil, Basil, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Cold summer garden soup(1 cup),203.38,49.19,2.65,8.57,14.08,0.46,1.86,10.12,43.93," Tomatoes, Cucumber, Bell pepper, Garlic, Lemon juice, Olive oil, Basil, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Chapati/Roti(2 pieces),844.75,202.31,35.65,5.88,3.56,1,6.31,6.83,17.22,"Whole wheat flour, Water, Salt",veg,1,0,1,0,0,0,0,0
Plain paratha(2 piece),1237.55,298.3,30.69,5.06,16.86,0.86,5.43,0,14.81,"Whole wheat flour, Water, Salt, Ghee or oil",veg,1,0,1,0,0,0,0,0
Potato paratha (1 piece),851.61,205.04,23.92,3.7,10.22,1.15,4.18,0,17.38,"Whole wheat flour, Potato, Onion, Green chilies, Spices ,cumin, coriander, Salt, Ghee",veg,1,0,1,0,0,0,0,0
Radish paratha(1 piece),762,183.52,20.54,3.3,9.53,1.31,4.32,0,23.75,"Whole wheat flour, Radish, Onion, Green chilies, Spices ,cumin, ajwain, Salt, Ghee",veg,1,0,1,0,0,0,0,0
Cauliflower paratha (1 piece),739.29,178.07,18.84,3.73,9.47,1.15,4.68,0,22,"Whole wheat flour, Cauliflower, Onion, Green chilies, Spices, Salt, Ghee",veg,1,0,1,0,0,0,0,0
Dal paratha(1 piece),1114.69,268.24,30.03,6.78,13.05,1.43,6.46,0,23.89,"Whole wheat flour, Cooked lentils, Onion, Green chilies, Spices (cumin, garam masala), Salt, Ghee",veg,1,0,0,1,0,0,0,0
Sprouted moong paratha(1 piece),948.71,228.59,24.31,4.29,12.43,1.47,4.49,0,20.33,"Whole wheat flour, Sprouted moong, Onion, Spices (cumin, turmeric), Salt, Ghee",veg,1,0,0,1,0,0,0,0
Pea paratha (1 piece),792.61,190.73,21.51,5.59,8.8,1.29,5.61,0,23.49,"Whole wheat flour, Ground meat (keema), Onion, Green chilies, Spices (garam masala, cumin), Salt, Ghee",veg,1,0,0,1,0,0,0,0
Keema paratha(1 piece),989.27,238.09,18.36,9.41,13.91,0.99,3.44,25.66,19.35,"Whole wheat flour, Ground meat (keema), Onion, Green chilies, Spices (garam masala, cumin), Salt, Ghee",non veg,1,0,0,1,0,0,0,0
Paneer paratha(1 piece),1093.35,262.97,24.33,7.98,14.62,3.77,4,0,127.65,"Whole wheat flour, Paneer (cottage cheese), Onion, Green chilies, Spices (cumin, coriander), Salt, Ghee",veg,1,0,0,1,0,0,0,0
Besan and spinach paratha(1 piece),901.21,216.49,21.39,5.54,12.09,1.31,4.39,0,33.07,"Whole wheat flour, Besan (gram flour), Spinach, Onion, Green chilies, Salt, Ghee",veg,1,0,0,1,0,0,0,0
Poori(4 piece),3035.59,737.63,8.22,1.35,77.61,0.23,1.46,1.58,3.98,"Whole wheat flour, Water, Salt, Ghee or oil",veg,2,1,0,0,0,0,0,0
Spinach poori (3 piece),2816.04,684.25,7.76,1.42,71.86,0.24,1.55,1.46,10.02,"Whole wheat flour, Spinach, Water, Salt, Ghee or oil",veg,2,1,0,0,0,0,0,0
Methi poori(3 piece),2922.04,710.02,7.98,1.45,74.6,0.26,1.61,1.51,14.61,"Whole wheat flour, Fenugreek leaves (methi), Water, Salt, Ghee or oil",veg,2,1,0,0,0,0,0,0
Dal stuffed poori(4 piece),3231.84,785.16,10.14,2.08,81.69,0.29,1.96,1.66,6.88,"Whole wheat flour, Cooked lentils, Spices (cumin, garam masala), Salt, Ghee or oil",veg,2,1,0,0,0,0,0,0
Potato stuffed poori (3 piece),3196.78,776.74,9.4,1.52,81.35,0.26,1.64,1.65,5.57,"Whole wheat flour, Potato, Onion, Green chilies, Spices (cumin, garam masala), Salt, Ghee or oil",veg,2,1,0,0,0,0,0,0
Tandoori paratha(2 piece),1225.73,295.37,30.74,5.08,16.51,0.86,5.44,39.77,14.98,"Whole wheat flour, Water, Salt, Ghee, Yogurt, Tandoori masala",veg,1,0,1,0,0,0,0,0
Boiled rice (1 cup),490.33,117.19,25.72,2.6,0.18,0.22,1.25,0,2.7,"Rice, Water, Salt",veg,1,0,1,0,0,0,0,0
Plain pulao(1 cup),583.77,140.21,21.82,2.34,4.62,1.15,1.69,0,12.76,"Basmati rice, Water, Ghee, Onion, Cloves, Cardamom, Cinnamon, Salt",veg,1,0,1,0,0,0,0,0
Mixed vegetable pulao(1 cup),471,113.05,17.49,2.72,3.33,1.35,2.67,0,19.61,"Basmati rice, Mixed vegetables (carrot, peas, beans, etc.), Onion, Spices (cumin, cardamom), Salt, Ghee",veg,1,0,1,0,0,0,0,0
Mushroom pulao(1 cup),517.56,124.29,19.02,2.52,4.03,1,1.88,0,13.54,"Basmati rice, Mushrooms, Onion, Garlic, Spices (cumin, cloves), Salt, Ghee",veg,1,0,1,0,0,0,0,0
Sprouted moong pulao(1 cup),470.44,112.97,17.49,2.19,3.61,1.43,1.78,0,16.26,"Basmati rice, Sprouted moong, Onion, Ginger, Spices (cumin, cardamom), Salt, Ghee",veg,1,0,1,0,0,0,0,0
Paneer pulao(1 cup),2396.2,581.91,8.76,1.98,59.81,1.11,0.62,0,33.09,"Basmati rice, Paneer (cottage cheese), Onion, Garlic, Spices (cumin, garam masala), Salt, Ghee",veg,2,0,1,0,0,0,0,0
Peanut pulao (1 cup),806.21,193.28,21.18,5.32,9.51,1.6,2.9,0,18.52,"Basmati rice, Peanuts, Onion, Garlic, Spices (cumin, turmeric), Salt, Ghee",veg,1,0,1,0,0,0,0,0
Navratan pulao(1 cup),1090.19,261.71,36.98,6.2,9.45,2.52,3.82,0,59.61,"Basmati rice, Mixed vegetables, Paneer, Dry fruits (cashews, raisins), Spices (cumin, garam masala), Salt, Ghee",veg,1,0,1,0,0,0,0,0
Green chickpeas pulao (1 cup),722.95,173.43,27.57,4.88,4.82,2.48,3.15,0,18.94,"Green chickpeas, Basmati rice, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt, Ghee, Water",veg,1,0,1,0,0,0,0,0
Mutton biryani (1 medium portion),795.74,190.76,22.5,7.38,7.72,2.39,2.42,0.4,68.58,"Mutton, Basmati rice, Onion, Garlic, Ginger, Yogurt, Spices (garam masala, cumin, cardamom), Salt, Ghee, Saffron",non veg,1,0,1,0,0,0,0,0
Vegetable biryani(1 full portion),724.76,174.61,18.56,3.16,9.51,2.14,3.31,0.27,33.52,"Mixed vegetables (carrot, peas, beans, etc.), Basmati rice, Onion, Garlic, Ginger, Spices (garam masala, cumin, cardamom), Salt, Ghee",veg,1,0,0,1,0,0,0,0
Lemon rice (1 cup),734.93,176.3,21.62,4.26,7.88,0.78,2.52,0,12.7,"Rice, Lemon, Mustard seeds, Curry leaves, Green chilies, Turmeric, Salt, Oil",veg,1,0,0,1,0,0,0,0
Sweet rice(1 cup),906.12,215.41,42.59,2.1,4.57,24.8,1.13,9.55,11.38,"Basmati rice, Sugar, Milk, Cardamom, Cashews, Raisins, Ghee",veg,0,0,0,1,0,0,0,0
Curd rice ((1 cup),818.47,195.74,32.93,5.75,4.32,3.91,2.13,3.12,101.52,"Rice, Yogurt, Mustard seeds, Curry leaves, Green chilies, Ginger, Salt, Oil",veg,1,0,0,1,0,0,0,0
Tamarind rice (1 cup),1556.82,373.04,65.08,7.45,8.53,11.65,5.12,7.7,50.94,"Rice, Tamarind paste, Mustard seeds, Curry leaves, Dry red chilies, Salt, Oil",veg,0,0,0,1,0,0,0,0
Spanish rice(1 cup),686.24,164.24,31.1,4.19,2.23,1.26,2.78,0,18.93,"Rice, Tomato, Onion, Garlic, Bell peppers, Spices (cumin, paprika), Salt, Olive oil",veg,1,0,0,1,0,0,0,0
Chinese fried rice(1 cup),502.3,120.58,13.4,4.05,5.43,1.47,2.31,52.09,34.7,"Rice, Vegetables (carrot, peas, beans, etc.), Soy sauce, Garlic, Ginger, Spring onions, Salt, Oil",veg,1,0,0,1,0,0,0,0
Macroni cheese pie(1 cup),717.16,170.63,21.1,5.85,7.48,3.4,0.4,15.99,122.01,"Macaroni, Cheese, Milk, Butter, Flour, Egg, Salt, Pepper",veg,1,0,0,1,0,0,0,0
Vegetable chowmein(1 cup),543.32,129.71,15.44,3.07,6.36,1.97,1.86,0,28.33,"Chowmein noodles, Mixed vegetables (carrot, cabbage, bell peppers), Soy sauce, Garlic, Ginger, Spring onions, Salt, Oil",veg,1,0,0,1,0,0,0,0
Chicken chowmein(1 cup),632.98,151.33,13.3,6.33,8.23,1.63,1.64,10.73,26.1,"Chowmein noodles, Chicken, Mixed vegetables (carrot, cabbage, bell peppers), Soy sauce, Garlic, Ginger, Spring onions, Salt, Oil",non veg,1,0,0,1,0,0,0,0
Cheese noodle ring(1 cup),561.07,133.67,13.96,6.22,6.12,2.84,1.27,55.67,99.3,"Noodles, Cheese, Milk, Butter, Flour, Egg, Salt, Pepper",veg,1,0,0,1,0,0,0,0
Spaghetti and cheese balls in tomato sauce(1 bowl),2095.46,508.32,7.82,2.41,52.08,1.83,0.59,3.83,40.59,"Spaghetti, Cheese, Tomatoes, Garlic, Onion, Olive oil, Basil, Salt, Pepper",veg,2,0,0,1,0,0,0,0
Penne platter(1 bowl),744.46,177.4,20.87,5.04,8.71,4.5,1.09,2.29,67.67,"Penne pasta, Tomato sauce, Cheese, Basil, Olive oil, Salt, Pepper",veg,1,0,0,1,0,0,0,0
Pasta hot pot(1 bowl),524.24,125.17,11.6,5.84,6.47,5.99,0.8,27.19,55.28,"Pasta, Cheese, Tomato sauce, Garlic, Onion, Mushrooms, Basil, Olive oil, Salt",veg,1,0,0,1,0,0,0,0
